,PlayerName,Last30,Last7
780,Mektic N.,0,0
781,Silva D.,0,0
782,Munoz de La Nava D.,0,0
783,Ferreiro F.,0,0
784,Janowicz J.,0,0
785,Riba-Madrid P.,0,0
786,Hocevar R.,0,0
787,Rufin G.,0,0
788,Fleming C.,0,0
789,Zemlja G.,0,0
790,Zeballos H.,0,0
791,Britton D.,0,0
792,De Chaunac S.,0,0
793,Agostinelli B.,0,0
794,Ilhan M.,0,0
795,Valent R.,0,0
796,Marchenko I.,0,0
797,Millot V.,0,0
798,Vovk S.,0,0
799,Luncanu P.A.,0,0
800,Dolgopolov O.,0,0
801,Haider-Maurer A.,0,0
802,Karlovic I. ,0,0
803,Seppi A. ,0,0
804,Rochus O. ,0,0
805,Stepanek R. ,0,0
806,Luczak P. ,0,0
807,Chiudinelli M. ,0,0
808,Bolelli S. ,0,0
809,Troicki V. ,0,0
810,Beck A. ,0,0
811,Nieminen J. ,0,0
812,Koellerer D. ,0,0
813,Cilic M. ,0,0
814,Zeballos H. ,0,0
815,Chardy J. ,0,0
816,Ljubicic I. ,0,0
817,Isner J. ,0,0
818,Serra F. ,0,0
819,Federer R. ,0,0
820,Lammer M. ,0,0
821,Korolev E. ,0,0
822,Hernych J. ,0,0
823,Wawrinka S. ,0,0
824,Djokovic N. ,0,0
825,Gasquet R. ,0,0
826,Montanes A. ,0,0
827,Mathieu P.H. ,0,0
828,Garcia-Lopez G. ,0,0
829,Falla A. ,0,0
830,Simon G. ,0,0
831,Granollers M. ,0,0
832,Monaco J. ,0,0
833,Almagro N. ,0,0
834,Mayer L. ,0,0
835,Ferrero J.C. ,0,0
836,Murray A. ,0,0
837,Rochus C. ,0,0
838,Tipsarevic J. ,0,0
839,Martin A. ,0,0
840,Monfils G. ,0,0
841,Youzhny M. ,0,0
842,Robredo T. ,0,0
843,Verdasco F. ,0,0
844,Davydenko N. ,0,0
845,Millman J.,0,0
846,Ebden M.,0,0
847,Yang T.H.,0,0
848,Sorensen L.,0,0
849,Lemke J.,0,0
850,Cervantes I.,0,0
851,Veic A.,0,0
852,Lorenzi P.,0,0
853,Brown D.,0,0
854,Aranguren J.M.,0,0
855,Saavedra Corvalan C.,0,0
856,Souza J.,0,0
857,Bemelmans R.,0,0
858,Jelenic P.,0,0
859,Poerschke L.,0,0
860,Mertens Y.,0,0
861,Matosevic M.,0,0
862,Krajinovic F.,0,0
863,El Amrani R.,0,0
864,Niland C.,0,0
865,Ramos-Vinolas A.,0,0
866,Donskoy E.,0,0
867,Gojowczyk P.,0,0
868,Munoz-De La Nava D.,0,0
869,Mina G.,0,0
870,Emmrich M.,0,0
871,Alcaide G.,0,0
872,Kudla D.,0,0
873,Marti Y.,0,0
874,Velotti A.,0,0
875,Johnson S.,0,0
876,Melzer G.,0,0
877,Raonic M.,0,0
878,Duclos P.L.,0,0
879,Paire B.,0,0
880,Sock J.,0,0
881,Copil M.,0,0
882,Ungur A.,0,0
883,Del Bonis F.,0,0
884,Kravchuk K.,0,0
885,Gong M.X.,0,0
886,Bai Y.,0,0
887,Bautista R.,0,0
888,Sugita Y.,0,0
889,Goffin D.,5,0
890,Sabry S.,0,0
891,Bubka S.,0,0
892,Venus M.,0,0
893,Scholtz N.,0,0
894,Van Der Merwe I.,0,0
895,Rios F.,0,0
896,Pospisil J.,0,0
897,Lajovic D.,2,0
898,Clezar G.,0,0
899,Dutra Silva R.,0,0
900,Kuznetsov Al.,0,0
901,Borvanov R.,0,0
902,Schoorel T.,0,0
903,Garza D.,0,0
904,Awadhy O.,0,0
905,Granollers Pujol G.,0,0
906,Kuznetsov An.,0,0
907,Ramos A.,0,0
908,Sousa J.,0,0
909,Teixeira M.,0,0
910,Marti J.,0,0
911,Golding O.,0,0
912,Cox D.,0,0
913,De Schepper K.,0,0
914,Wang J.,0,0
915,Lindell C.,0,0
916,Olaso G.,0,0
917,Cervenak P.,0,0
918,Kern R.,0,0
919,Stebe C.M.,0,0
920,Knittel B.,0,0
921,Kosakowski D.,0,0
922,Thiem D.,0,0
923,Muster T.,0,0
924,Sitak A.,0,0
925,Chvojka E.,0,0
926,Pospisil V.,0,0
927,Dasnieres de Veigy J.,0,0
928,Jaziri M.,0,0
929,Dutra Da Silva R.,0,0
930,Giannessi A.,0,0
931,Rodrigues M.,0,0
932,Renavand N.,0,0
933,Wu D.,0,0
934,Li Z.,0,0
935,Zhang Z.,0,0
936,Zopp J.,0,0
937,Duckworth J.,0,0
938,Vardhan V.,0,0
939,Bhambri Y.,0,0
940,Viola Mat.,0,0
941,Van D. Merwe I.,0,0
942,Marcan D.,0,0
943,Lajola D.,0,0
944,Kutrovsky D.,0,0
945,Bagnis F.,0,0
946,Olivetti A.,0,0
947,Cabal J.S.,0,0
948,Djokovic M.,0,0
949,Williams R.,0,0
950,Delbonis F.,0,0
951,Ziadi M.,0,0
952,Idmbarek Y.,0,0
953,Gutierrez-Ferrol S.,0,0
954,Brugues-Davi A.,0,0
955,Balazs A.,0,0
956,Farah R.,0,0
957,Menendez-Maceiras A.,0,0
958,Bedene A.,0,0
959,Trungelliti M.,0,0
960,Ehrat S.,0,0
961,Mcclune M.,0,0
962,Klahn B.,0,0
963,Novikov D.,0,0
